Match Number,Round Number,Date,Home Team,Away Team,Result
26524,4,2010-04-29T00:00:00.000Z,Portland Trail Blazers,Phoenix Suns,-9
26525,4,2010-04-30T00:00:00.000Z,Milwaukee Bucks,Atlanta Hawks,-14
26526,4,2010-05-02T00:00:00.000Z,Atlanta Hawks,Milwaukee Bucks,21
26527,4,2010-05-03T00:00:00.000Z,Phoenix Suns,San Antonio Spurs,9
26528,4,2010-05-04T00:00:00.000Z,Orlando Magic,Atlanta Hawks,43
26529,4,2010-05-05T00:00:00.000Z,Phoenix Suns,San Antonio Spurs,8
26530,4,2010-05-07T00:00:00.000Z,San Antonio Spurs,Phoenix Suns,-14
26531,4,2010-05-08T00:00:00.000Z,Atlanta Hawks,Orlando Magic,-30
26532,4,2010-05-09T00:00:00.000Z,San Antonio Spurs,Phoenix Suns,-6
26533,4,2010-05-10T00:00:00.000Z,Utah Jazz,Los Angeles Lakers,-15
26534,4,2010-05-11T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics,-32
26535,4,2010-05-13T00:00:00.000Z,Boston Celtics,Cleveland Cavaliers,9
26536,4,2010-05-16T00:00:00.000Z,Orlando Magic,Boston Celtics,-4
26537,4,2010-05-17T00:00:00.000Z,Los Angeles Lakers,Phoenix Suns,21
26538,4,2010-05-18T00:00:00.000Z,Orlando Magic,Boston Celtics,-3
26539,4,2010-05-19T00:00:00.000Z,Los Angeles Lakers,Phoenix Suns,12
26540,4,2010-05-22T00:00:00.000Z,Boston Celtics,Orlando Magic,23
26541,4,2010-05-24T00:00:00.000Z,Boston Celtics,Orlando Magic,-4
26542,4,2010-05-25T00:00:00.000Z,Phoenix Suns,Los Angeles Lakers,9
26543,4,2010-05-26T00:00:00.000Z,Orlando Magic,Boston Celtics,21
26544,4,2010-05-27T00:00:00.000Z,Los Angeles Lakers,Phoenix Suns,2
26545,4,2010-05-29T00:00:00.000Z,Phoenix Suns,Los Angeles Lakers,-8
26546,4,2010-06-03T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,13
26547,4,2010-06-06T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,-9
26548,4,2010-06-08T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,-7
26549,4,2010-06-10T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,7
26550,4,2010-06-13T00:00:00.000Z,Boston Celtics,Los Angeles Lakers,6
26551,4,2010-06-15T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,22
26552,4,2010-06-17T00:00:00.000Z,Los Angeles Lakers,Boston Celtics,4
26868,4,2010-04-17T00:00:00.000Z,Cleveland Cavaliers,Chicago Bulls,13
26869,4,2010-04-18T00:00:00.000Z,Dallas Mavericks,San Antonio Spurs,6
26870,4,2010-04-20T00:00:00.000Z,Phoenix Suns,Portland Trail Blazers,29
26871,4,2010-04-21T00:00:00.000Z,Orlando Magic,Charlotte Hornets,15
26872,4,2010-04-22T00:00:00.000Z,Oklahoma City Thunder,Los Angeles Lakers,5
26873,4,2010-04-23T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks,4
26874,4,2010-04-24T00:00:00.000Z,Portland Trail Blazers,Phoenix Suns,9
26875,4,2010-04-25T00:00:00.000Z,San Antonio Spurs,Dallas Mavericks,3
26876,4,2010-04-26T00:00:00.000Z,Phoenix Suns,Portland Trail Blazers,19
26877,4,2010-04-27T00:00:00.000Z,Boston Celtics,Miami Heat,10
27003,4,2010-04-25T00:00:00.000Z,Miami Heat,Boston Celtics,9
